step,flux_to_10,flux_to_14,dissipation,entropy,m2,mass_error
9.000000000000000000e+01,6.930427626493575606e-10,1.939425813614541021e-04,4.535742614932979677e+01,2.043625636539776469e+00,1.526351966627322310e-01,0.000000000000000000e+00
9.100000000000000000e+01,7.319518415320077375e-10,1.970806389847363019e-04,4.599653027423670437e+01,2.045345124644379453e+00,1.521386975013811482e-01,2.220446049250313081e-16
9.200000000000000000e+01,7.724750022812132337e-10,2.002367120383095108e-04,4.663405833204956252e+01,2.046882614148997082e+00,1.516702012742249250e-01,2.220446049250313081e-16
9.300000000000000000e+01,8.146387152151894390e-10,2.034094795413907445e-04,4.726993055738871874e+01,2.048224877466933158e+00,1.512329229685026866e-01,0.000000000000000000e+00
9.400000000000000000e+01,8.584672983531095616e-10,2.065975221290812774e-04,4.790406891446937721e+01,2.049358022779985689e+00,1.508302900972841587e-01,2.220446049250313081e-16
9.500000000000000000e+01,9.039827224926964028e-10,2.097993190832124770e-04,4.853639705433742790e+01,2.050267463791650258e+00,1.504659513220268363e-01,1.110223024625156540e-16
9.600000000000000000e+01,9.512044115139171063e-10,2.130132454725587447e-04,4.916684027370655485e+01,2.050937886965264134e+00,1.501437848801112918e-01,0.000000000000000000e+00
9.700000000000000000e+01,1.000149038423518004e-09,2.162375694271296720e-04,4.979532547544089027e+01,2.051353215638686223e+00,1.498679067368173801e-01,1.110223024625156540e-16
9.800000000000000000e+01,1.050830317733525699e-09,2.194704495730269021e-04,5.042178113072856860e+01,2.051496570225628258e+00,1.496426783730424037e-01,0.000000000000000000e+00
9.900000000000000000e+01,1.103258794849795459e-09,2.227099326561023302e-04,5.104613724299399991e+01,2.051350223474851742e+00,1.494727141117159208e-01,0.000000000000000000e+00
1.000000000000000000e+02,1.157441633233955155e-09,2.259539513843739880e-04,5.166832531359744962e+01,2.050895549441480892e+00,1.493628878774261315e-01,0.000000000000000000e+00
1.010000000000000000e+02,1.213382400193286613e-09,2.292003225208142693e-04,5.228827830937216703e+01,2.050112964400061077e+00,1.493183392753311689e-01,1.110223024625156540e-16
1.020000000000000000e+02,1.271080852247689794e-09,2.324467452596939402e-04,5.290593063204930502e+01,2.048981857354037039e+00,1.493444788671189349e-01,1.110223024625156540e-16
1.030000000000000000e+02,1.330532721120304754e-09,2.356907999211219507e-04,5.352121808962156280e+01,2.047480507008216932e+00,1.494469925137325295e-01,0.000000000000000000e+00
1.040000000000000000e+02,1.391729501497817043e-09,2.389299469997218338e-04,5.413407786969590774e+01,2.045585980975248130e+00,1.496318446469556696e-01,1.110223024625156540e-16
1.050000000000000000e+02,1.454658241807113812e-09,2.421615266045086849e-04,5.474444851488513564e+01,2.043274011440302296e+00,1.499052803249300014e-01,2.220446049250313081e-16
1.060000000000000000e+02,1.519301339355660309e-09,2.453827583279232860e-04,5.535226990028618843e+01,2.040518839284986896e+00,1.502738259204521309e-01,1.110223024625156540e-16
1.070000000000000000e+02,1.585636341282653915e-09,2.485907415826171221e-04,5.595748321309159934e+01,2.037293015412014796e+00,1.507442882856846467e-01,0.000000000000000000e+00
1.080000000000000000e+02,1.653635752865209484e-09,2.517824564449133154e-04,5.656003093437674778e+01,2.033567143124217935e+00,1.513237522329353990e-01,2.220446049250313081e-16
1.090000000000000000e+02,1.723266854817112989e-09,2.549547650438478783e-04,5.715985682310321181e+01,2.029309537891684112e+00,1.520195761686757852e-01,2.220446049250313081e-16
1.100000000000000000e+02,1.794491531305382478e-09,2.581044135342950175e-04,5.775690590237276467e+01,2.024485768928980356e+00,1.528393857172097581e-01,2.220446049250313081e-16
1.110000000000000000e+02,1.867266110490142714e-09,2.612280346918354639e-04,5.835112444796223485e+01,2.019058027490464369e+00,1.537910651716565269e-01,0.000000000000000000e+00
1.120000000000000000e+02,1.941541219464273947e-09,2.643221511657093932e-04,5.894245997916287649e+01,2.012984233549585777e+00,1.548827466134257147e-01,0.000000000000000000e+00
1.130000000000000000e+02,2.017261655528870075e-09,2.673831794243619218e-04,5.953086125194098344e+01,2.006216733232935923e+00,1.561227965474054347e-01,0.000000000000000000e+00
